what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1367648524547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648527638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648530339
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1367648530355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648532309
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367648549656
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367648549824
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367648549960
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367648550168
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1367648550456
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1367648550624
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1367648550768
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1367648550944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367648551536
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648554599
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648554759
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648554920
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648555080
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648555247
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648555407
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1367648555807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367648556171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367648563714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648565373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648585118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648589245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648591902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648592308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648598021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648598685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648620476
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367648630333
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367648630638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367648630710
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1367648638116
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648639557
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648639724
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648639884
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648640044
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648640204
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1367648640380
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1367648654708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1367648662823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1367648663396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1367648667946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648670561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648695447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648698041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648699002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648702468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648703560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648704156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648704938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648706616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648831658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648832823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648834149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648835046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648899992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648900970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1367648909282
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367648913097
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367648913412
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367648913474
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1367648915441
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367648915808
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367648915872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1367648919626
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.editor",1367648919694
